x,uncertainty in x,Intensity
0.000086,1.93969849246231E-06,0.695150580086268
0.000109,4.06532663316582E-06,0.558596028181616
0.000134,4.19095477386934E-06,0.412416367258507
0.000155,8.31658291457286E-06,0.299640588088632
0.00019,1.55778894472364E-06,0.161239760439321
0.000211,2.56783919597991E-06,0.0495452644209452
0.000239,3.06532663316579E-07,0.00532748519442046
0.000263,8.19095477386949E-07,0.0214180602426942
0.000291,2.05527638190959E-06,0.0497677710846186
0.000315,9.29648241206039E-07,0.168060242512321
0.000343,3.80402010050247E-06,0.32401501961936
0.000365,6.78391959798978E-07,0.432448057965475
0.000391,1.55276381909547E-06,0.599532495349865
0.000414,5.72864321608053E-07,0.748534808394941
0.000437,2.69849246231158E-06,0.831224376918912
0.000461,3.82412060301508E-06,0.950162871530834
0.000487,2.94974874371853E-06,0.997441706756631
0.000519,3.92462311557789E-06,0.990958576959746
0.000537,3.20100502512559E-06,0.908802200868049
0.000567,1.67336683417089E-06,0.804158996269344
0.000591,5.47738693467336E-07,0.672316863255681
0.000617,1.42211055276383E-06,0.544369963568737
0.00064,7.0351758793964E-07,0.412974324531372
0.000665,8.29145728643171E-07,0.308888054847909
0.000693,2.04522613065326E-06,0.138826013061429
0.000715,1.08040201005023E-06,0.0427783412605302
0.000742,7.93969849246286E-07,0.0283660589116928
0.00077,3.66834170854261E-06,0.0026666621744213
0.000793,1.54271356783914E-06,0.0900962190258315
0.000815,1.58291457286435E-06,0.137135367696919
0.000841,7.0854271356786E-07,0.305508080568255
0.00087,3.1658291457286E-06,0.450717316047468
0.000887,4.95979899497491E-06,0.529311578070655
0.000918,9.14572864321598E-07,0.771945942273258
0.000946,3.78894472361803E-06,0.814001008406486
0.000967,3.36683417085488E-07,0.923131154308051
0.000993,5.37688442210898E-07,0.959634334271049
0.00102,2.41206030150752E-06,0.937633213702092
0.001048,5.28643216080407E-06,0.906799430865307
0.00107,2.16080402010046E-06,0.804924356280675
0.001092,9.64824120602923E-07,0.654148554866872
0.001118,9.04522613064292E-08,0.521951906597488
0.001142,1.21608040200998E-06,0.399829596035788
0.001168,3.41708542713707E-07,0.28409022498437
0.001187,6.46733668341727E-06,0.145815266244525
0.001216,2.5929648241206E-06,0.0582881901357823
0.001245,1.28140703517586E-06,0.0339886853827855
0.00127,1.15577889447244E-06,0.0145484202465881
0.001291,2.96984924623108E-06,0.0473366670663878
0.00132,9.04522613065376E-07,0.0694371261118326
0.001345,7.78894472361737E-07,0.23286025008866
0.001372,2.65326633165815E-06,0.335815302354998
0.001395,5.27638190954676E-07,0.512227244496243
0.001417,2.59798994974871E-06,0.644979165820186
0.001442,2.72361809045235E-06,0.790490776817663
0.001467,2.84924623115577E-06,0.838087438850884
0.001496,1.02512562814069E-06,0.907891524367445
0.001522,1.89949748743696E-06,0.909099205565345
0.001544,1.22613065326642E-06,0.868723103648764
0.00157,3.51758793969929E-07,0.813373891187237
0.001594,1.47738693467348E-06,0.700051202326768
0.001615,5.603015075377E-06,0.593924141463462
0.001643,2.72864321608046E-06,0.482712988245578
0.00167,8.54271356783834E-07,0.332600223466815
0.001697,1.02010050251258E-06,0.215964411849722
0.001719,2.10552763819103E-06,0.105837106163766
0.001743,3.23115577889458E-06,0.050443615197688
0.001769,2.35678391959809E-06,0.0207609537587988
0.001798,1.51758793969837E-06,0.00833626087318062
0.001822,3.91959798995032E-07,0.0510362326828606
0.001847,2.66331658291393E-07,0.173596849881274
0.001874,2.14070351758802E-06,0.23530486405622
0.001899,2.01507537688438E-06,0.394153317273559
0.001921,1.11055276381922E-06,0.471775135091775
0.001943,4.23618090452261E-06,0.669074466108077
0.001969,3.36180904522655E-06,0.733619513008037
0.002,2.51256281407018E-06,0.773359581622929
0.002024,1.38693467336684E-06,0.84203624585333
0.002044,3.73869346733703E-06,0.848638899128774
0.002072,8.64321608040272E-07,0.830077266326534
0.002098,1.00502512562217E-08,0.711633497938421
0.002123,1.15577889447417E-07,0.657202601084145
0.002148,2.41206030150622E-07,0.548117657515173
0.002171,2.36683417085409E-06,0.419536618647538
0.002201,2.50753768844206E-06,0.329603910056749
0.002222,1.61809045226124E-06,0.187444395106723
0.002246,2.74371859296458E-06,0.115642798769507
0.002269,4.86934673366805E-06,0.0476677562746217
0.002296,2.99497487437185E-06,0.0125522340619682
0.002331,6.87939698492453E-06,0.0113005532059795
0.002348,1.2462311557793E-06,0.0390751004913254
0.002378,3.62814070351729E-06,0.121040553639178
0.002398,1.49748743718614E-06,0.229484205286295
0.002427,2.37688442211031E-06,0.286936737523171
0.002448,1.74874371859299E-06,0.376727305833759
0.002473,1.87437185929663E-06,0.48387589686434
0.002501,1.00000000000013E-06,0.59824591877589
